,1,,,,,,,Formula,N,P,K,,,,,N Test,P Test,K Test,,,,,,,,,,,,,,,,,,
,San Juan,,,,,,,12-06-06,12,6,6,,,"Swine-Nursery pig, 12.5 kg",8.54166666666667,1.41666666666667,3.33333333333333,0.854166666666666,0.141666666666667,0.333333333333333,90,10,,,,,,,,,,,,,,
,Ponce,,,,,,,12-06-08,12,6,8,,,"Swine-Grow-finish, 70 kg",8.39285714285714,1.35714285714286,3.57142857142857,0.839285714285714,0.135714285714286,0.357142857142857,90,10,,,,,,,,,,,,,,
,Humacao,,,,,,,12-06-06,12,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
,San German,,,,,,,12-06-08,12,6,8,,,Select Method Application,,,,,,,,,,,,,,,,,,,,,,
,Virgin Islands of the United States,,,,,,,12-06-10,12,6,10,,,Dry Basis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12-06-16,12,6,16,,,Wet Basis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12-08-16,12,8,16,,,,,,,,,,,,,,,,,,,,,,,,,
,N - Index,,,,,,,12-12-24,12,12,24,,,"=IF('Site Assessment'!E39="""","""",IF('Site Assessment'!E39=""Dry Basis"",""lb"",""Gallon""))",,,,,,,,,,,,,,,,,,,,,,
1,"=IF('Site Assessment'!E61>=3500,""True"","""")","=IF(B37=""TRUE"",1,0)","=IF(B37=""true"",""√"","""")",,,,,15-02-08,15,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
2,"=IF('Site Assessment'!E65>=50,""True"",0)","=IF(B38=""TRUE"",1,0)","=IF(B38=""true"",""√"","""")",,,,,15-03-15,15,3,15,,,,,,,,,,,,,,,,,,,,,,,,,
3,"=IF('Site Assessment'!E69>=22,""True"",""false"")","=IF(B39=""TRUE"",1,0)","=IF(B39=""true"",""√"","""")",,,,,15-05-10,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
4,"=IF(AND((E40>4),(F40=""C"")),""True"",IF((AND(E40>2.5,F40=""L"")),""True"",IF((AND(E40>2.5,F40=""s"")),""True"",IF((AND(E40>2.5,F40=""o"")),""True""))))","=IF(B40=""TRUE"",1,0)","=IF(B40=""true"",""√"","""")",='Site Assessment'!F73,='Site Assessment'!M73,,,15-08-04,15,8,4,,,,,,,,,,,,,,,,,,,,,,,,,
5,"=IF('Site Assessment'!E77>25,""True"","""")","=IF(B41=""TRUE"",1,0)","=IF(B41=""true"",""√"","""")",,,,,15-05-20,15,5,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,=SUM(C37:C41),,S,,,,15-10-05,15,10,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,"=IF(C42=0,"""",IF(C42>3,""High"",IF(C42>1,""Medium"",""Low"")))",,L,,,,15-10-10,15,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,15-10-15,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,,,,15-15-10,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15-15-15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15-15-18,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16-04-04,16,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16-04-08,16,4,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18-06-12,18,6,12,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-00-10,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-00-20,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-04-08,20,4,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-05-10,20,5,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-05-15,20,5,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-05-20,20,5,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-10-10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20-10-15,20,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21-07-07,21,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21-07-14,21,7,14,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Nitrate,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Nitrate Ammonia 37%,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Nitrate Ammonia 41%,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Polyphosphate 24%,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Polyphosphate 30%,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Polyphosphate 34%,10,34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Polyphosphate 37%,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ammonium Sulfate,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aqua Ammonia 20%,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aqua Ammonia 24% ,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Calcium Ammonium Nitrate 17% ,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Diammonium Phosphate,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,N Solution ,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Phosphoric Acid 52% ,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Phosphoric Acid 68% ,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Phosphoric Acid 75% ,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potassium Cloride,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potassium Sulfate,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Triple Superphospate,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Urea,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Urea Ammonium Nitrate 28% ,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Urea Ammonium Nitrate 32% ,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Urea Solution 20% ,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Urea Solution 23% ,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
